Rank,Player ID,Player Name,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds.1,>= 100yds.1,Kick Ret Yds,Fum Lost,Scoring Opps,Pts,pos,source,source_url
1,13130,"McCaffrey, Christian",SFO,RB,276.0,1395.0,12.9,10.3,1.2,0.5,0.5,0.0,0.5,14.1,4.6,93.3,12.7,74.4,643.0,6.3,2.6,1.3,0.0,2.0,48.0,352.3,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
2,15710,"Williams, Kyren",LAR,RB,259.5,1202.0,12.8,10.5,1.1,1.2,0.0,0.0,0.0,13.3,2.4,53.7,13.7,36.0,245.0,1.7,1.0,0.5,5.0,2.4,37.7,247.1,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
3,14802,"Taylor, Jonathan",IND,RB,318.4,1334.0,9.7,7.7,0.5,0.0,0.0,0.9,0.7,14.7,2.7,59.8,8.7,44.0,274.0,1.8,1.1,0.5,0.0,2.3,39.0,247.0,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
4,16161,"Robinson, Bijan",ATL,RB,245.0,1111.0,5.5,3.8,1.7,0.0,0.0,0.0,0.0,11.2,2.2,91.8,12.8,61.3,533.0,3.6,2.1,1.1,19.0,2.8,29.3,244.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
5,13604,"Barkley, Saquon",PHI,RB,310.5,1276.0,8.6,8.6,0.0,0.0,0.0,0.0,0.0,14.8,2.6,69.4,5.4,48.3,311.0,1.9,1.2,0.6,0.0,1.8,26.4,244.7,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
6,15708,"Hall, Breece",NYJ,RB,210.7,971.0,6.3,2.8,0.2,0.0,1.3,0.0,2.1,12.4,1.9,83.7,6.6,63.7,518.0,3.2,2.1,1.0,0.0,0.0,18.4,239.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
7,15711,"Walker III, Kenneth",SEA,RB,293.5,1255.0,10.2,4.3,3.9,1.0,0.0,0.0,1.1,14.4,2.5,47.9,4.0,35.2,284.0,0.7,1.1,0.6,0.0,0.0,25.2,237.1,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
8,16167,"Achane, De'Von",MIA,RB,175.2,1050.0,9.7,5.1,1.3,2.1,0.0,0.0,1.2,4.9,2.1,70.1,11.7,49.3,346.0,2.6,1.4,0.7,78.0,1.1,22.3,236.0,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
9,15253,"Etienne, Travis",JAC,RB,248.6,1069.0,9.4,6.2,0.6,1.0,0.2,0.0,1.4,12.8,2.1,65.8,3.0,51.7,408.0,0.6,1.6,0.8,0.0,1.4,27.3,233.5,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
10,12626,"Henry, Derrick",BAL,RB,237.8,1102.0,12.0,7.4,2.6,1.3,0.3,0.3,0.0,13.3,2.2,46.5,3.6,31.7,266.0,0.7,1.1,0.5,72.0,0.3,34.4,228.4,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
11,16162,"Gibbs, Jahmyr",DET,RB,196.3,987.0,12.6,5.9,4.9,1.4,0.0,0.2,0.2,12.4,2.0,69.2,10.2,46.1,285.0,1.3,1.1,0.6,6.0,2.9,33.5,227.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
12,15721,"White, Rachaad",TBB,RB,256.4,949.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,11.8,1.9,80.5,8.1,71.3,541.0,3.8,2.2,1.1,0.0,2.8,17.3,225.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
13,15749,"Pacheco, Isiah",KCC,RB,254.2,1111.0,8.3,7.0,0.8,0.0,0.0,0.5,0.0,13.5,2.2,53.8,6.7,48.6,329.0,1.5,1.3,0.7,115.0,2.5,35.4,222.6,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
14,14071,"Montgomery, David",DET,RB,236.6,1149.0,12.4,11.0,0.0,0.0,0.0,0.6,0.9,13.1,2.3,38.1,2.7,27.5,193.0,0.0,0.8,0.4,0.0,1.2,32.1,222.1,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
15,13132,"Kamara, Alvin",NOS,RB,231.3,934.0,5.3,4.7,0.6,0.0,0.0,0.0,0.0,11.2,1.9,91.3,9.1,73.2,515.0,0.9,2.1,1.0,0.0,2.1,19.7,217.5,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
16,13131,"Mixon, Joe",HOU,RB,261.7,1050.0,7.3,6.4,0.9,0.0,0.0,0.0,0.0,13.2,2.1,54.4,12.1,41.4,297.0,2.4,1.2,0.6,7.0,0.0,34.8,213.8,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
17,13146,"Conner, James",ARI,RB,231.5,1085.0,7.9,6.3,0.5,1.1,0.0,0.0,0.0,11.5,3.4,49.5,5.4,40.2,252.0,2.2,1.0,0.5,0.0,0.4,25.0,213.7,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
18,12447,"Mostert, Raheem",MIA,RB,191.4,950.0,12.3,8.2,1.4,1.4,0.8,0.5,0.0,11.3,1.9,33.0,5.3,25.1,161.0,2.8,0.6,0.3,88.0,0.5,33.2,213.2,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
19,14073,"Jacobs, Josh",GBP,RB,310.6,1222.0,4.9,3.9,0.0,0.0,0.0,0.0,1.0,14.9,2.4,63.2,7.4,46.8,351.0,0.0,1.4,0.7,0.0,1.1,17.3,207.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
20,13404,"Ekeler, Austin",WAS,RB,206.3,725.0,5.8,4.6,1.2,0.0,0.0,0.0,0.0,2.9,1.4,90.7,8.5,67.4,558.0,2.6,2.2,1.1,28.0,2.9,26.3,206.8,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
21,15714,"White, Zamir",LVR,RB,294.8,1249.0,5.7,4.6,0.0,0.3,0.0,0.0,0.8,12.9,3.4,55.7,5.6,39.2,281.0,0.0,1.1,0.6,0.0,1.0,17.4,205.1,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
22,15716,"Robinson, Brian",WAS,RB,219.8,900.0,6.0,4.6,1.3,0.0,0.0,0.0,0.0,3.6,1.8,50.8,5.5,40.7,376.0,4.4,1.5,0.8,0.0,3.0,20.5,204.4,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
23,15254,"Harris, Najee",PIT,RB,272.8,1124.0,8.8,8.0,0.8,0.0,0.0,0.0,0.0,13.0,2.2,45.6,5.7,33.0,188.0,1.0,0.8,0.4,0.0,1.1,27.2,204.2,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
24,14080,"Singletary, Devin",NYG,RB,275.4,1052.0,7.6,7.1,0.6,0.0,0.0,0.0,0.0,12.7,2.1,57.6,4.7,41.3,275.0,0.9,1.1,0.5,38.0,0.9,21.5,204.0,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
25,15259,"Stevenson, Rhamondre",NEP,RB,212.5,880.0,5.5,3.7,0.0,0.0,1.1,0.0,0.7,8.5,1.8,90.5,8.6,69.1,409.0,1.4,1.6,0.8,0.0,1.4,17.7,201.8,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
26,15715,"Cook, James",BUF,RB,222.1,1059.0,1.8,0.6,0.0,1.2,0.0,0.0,0.0,12.7,2.1,55.9,6.0,45.1,419.0,4.1,1.7,0.8,0.0,2.0,17.7,201.8,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
27,14085,"Pollard, Tony",TEN,RB,238.9,924.0,7.6,5.6,1.0,1.0,0.0,0.0,0.0,11.7,1.8,66.6,9.7,52.4,323.0,0.8,1.3,0.6,12.0,0.6,31.1,201.1,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
28,14797,"Swift, D'Andre",CHI,RB,242.1,1138.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,13.1,2.3,52.5,6.0,39.0,232.0,1.0,0.9,0.5,0.0,0.6,27.3,196.8,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
29,14798,"Moss, Zack",CIN,RB,224.6,890.0,6.0,5.6,0.3,0.0,0.0,0.0,0.0,9.1,1.8,56.7,11.6,40.8,292.0,3.7,1.2,0.6,0.0,0.0,35.4,196.7,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
30,13850,"Edwards, Gus",LAC,RB,225.8,850.0,9.8,9.5,0.0,0.0,0.0,0.4,0.0,3.4,1.7,45.0,3.6,32.4,322.0,0.4,1.3,0.6,0.0,4.2,33.2,186.4,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
31,15256,"Williams, Javonte",DEN,RB,243.6,900.0,4.3,4.0,0.2,0.0,0.0,0.0,0.0,7.8,1.8,64.3,4.1,51.4,273.0,2.1,1.1,0.5,0.0,1.1,18.8,180.6,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
32,13610,"Chubb, Nick",CLE,RB,206.2,975.0,6.4,3.6,0.8,0.6,0.6,0.6,0.2,10.8,2.0,40.5,1.6,28.3,211.0,1.2,0.8,0.4,0.0,1.0,15.3,177.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
33,15713,"Ford, Jerome",CLE,RB,186.2,675.0,6.1,5.2,0.3,0.0,0.0,0.0,0.7,2.7,1.4,55.1,5.2,37.4,240.0,2.6,1.0,0.5,0.0,0.5,13.6,163.0,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
34,15742,"Warren, Jaylen",PIT,RB,156.1,790.0,3.9,0.9,2.5,0.0,0.0,0.0,0.5,3.2,1.6,72.3,6.7,57.7,357.0,0.0,1.4,0.7,0.0,1.9,15.5,163.0,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
35,13319,"Jones, Aaron",MIN,RB,213.5,951.0,2.4,2.4,0.0,0.0,0.0,0.0,0.0,11.8,1.9,56.5,9.8,41.2,273.0,0.8,1.1,0.5,0.0,1.2,16.4,159.7,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
36,13133,"Perine, Samaje",DEN,RB,100.4,400.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.6,0.8,103.7,5.4,86.5,722.0,0.4,2.9,1.4,0.0,0.8,9.6,158.5,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
37,12625,"Elliott, Ezekiel",DAL,RB,199.4,750.0,4.2,3.8,0.0,0.3,0.0,0.0,0.0,5.3,1.5,62.0,6.6,47.9,265.0,0.8,1.1,0.5,4.0,0.3,19.3,155.1,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
38,16597,"Brooks, Jonathon",CAR,RB,196.4,792.0,4.6,3.9,0.7,0.0,0.0,0.0,0.0,4.7,1.6,41.8,1.6,33.0,271.0,0.3,1.1,0.5,28.0,0.5,15.8,151.3,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
39,15261,"Hubbard, Chuba",CAR,RB,221.1,870.0,2.8,2.8,0.0,0.0,0.0,0.0,0.0,9.0,1.7,45.7,1.6,36.8,275.0,0.0,1.1,0.5,0.0,0.0,16.2,149.7,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
40,16165,"Spears, Tyjae",TEN,RB,114.3,500.0,1.8,1.0,0.8,0.0,0.0,0.0,0.0,2.0,1.0,82.6,7.4,62.9,476.0,1.6,1.9,1.0,280.0,0.0,9.5,149.2,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
41,15712,"Allgeier, Tyler",ATL,RB,188.5,805.0,3.4,2.6,0.0,0.0,0.8,0.0,0.0,7.0,1.6,21.5,0.9,17.8,191.0,1.3,0.8,0.4,0.0,0.0,14.3,138.2,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
42,14823,"Dowdle, Rico",DAL,RB,156.0,625.0,3.4,3.4,0.0,0.0,0.0,0.0,0.0,2.5,1.2,40.8,7.2,29.7,256.0,2.3,1.0,0.5,64.0,0.0,19.9,137.2,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
43,14852,"Gibson, Antonio",NEP,RB,109.5,412.0,2.4,2.2,0.0,0.0,0.0,0.0,0.3,1.6,0.8,61.0,5.7,48.5,336.0,1.6,1.3,0.7,146.0,0.0,6.6,123.1,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
44,16169,"Charbonnet, Zach",SEA,RB,130.3,577.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,2.3,1.2,53.5,1.4,45.9,302.0,0.3,1.2,0.6,15.0,0.2,9.7,116.4,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
45,14803,"Edwards-Helaire, Clyde",KCC,RB,109.8,350.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0,1.4,0.7,51.8,10.3,39.7,371.0,1.9,1.5,0.7,0.0,0.0,14.8,111.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
46,15723,"Chandler, Ty",MIN,RB,132.3,529.0,4.1,3.8,0.3,0.0,0.0,0.0,0.0,2.1,1.1,35.3,5.8,28.9,179.0,0.0,0.7,0.4,12.0,0.0,12.8,109.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
47,14086,"Hill, Justice",BAL,RB,98.1,450.0,2.1,1.4,0.7,0.0,0.0,0.0,0.0,1.8,0.9,54.9,2.0,33.0,258.0,0.8,1.0,0.5,141.0,0.6,9.5,103.8,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
48,15271,"Herbert, Khalil",CHI,RB,155.4,633.0,2.2,0.9,1.4,0.0,0.0,0.0,0.0,2.5,1.3,36.7,5.0,24.3,136.0,0.1,0.5,0.3,0.0,0.7,7.2,103.2,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
49,14805,"Dillon, AJ",GBP,RB,161.3,595.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,2.4,1.2,28.6,1.4,23.4,226.0,0.0,0.9,0.5,0.0,0.0,9.7,100.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
50,16175,"Johnson, Roschon",CHI,RB,88.2,400.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0,1.6,0.8,57.6,5.0,41.4,231.0,0.0,0.9,0.5,12.0,0.0,11.6,99.9,RB,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
