player,team,pos,xp_made,xp_att,fg_made,fg_att,fg_1_19_made,fg_20_29_made,fg_30_39_made,fg_40_49_made,fg_50_made,fg_miss,fpts,source,source_url
Brandon Aubrey,DAL,K,50.8,53.9,32.9,36.5,0.0,7.4,11.8,4.6,9.2,3.6,138.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Justin Tucker,BAL,K,44.0,44.1,34.2,39.1,0.0,10.9,11.6,9.1,2.5,4.9,131.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Cameron Dicker,LAC,K,34.5,34.5,33.4,36.0,0.0,8.4,8.9,10.7,5.3,2.6,126.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Harrison Butker,KCC,K,39.7,40.2,32.4,36.1,0.0,11.1,8.8,6.4,6.1,3.7,126.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Jake Elliott,PHI,K,51.4,52.4,26.1,28.0,0.0,7.5,7.8,5.4,5.4,1.9,123.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Daniel Carlson,LVR,K,38.4,38.9,31.6,34.9,0.0,9.5,9.6,7.9,4.6,3.3,123.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Jason Myers,SEA,K,34.8,35.3,34.1,39.2,0.0,9.0,11.8,8.0,5.2,5.2,121.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Cairo Santos,CHI,K,30.7,33.5,33.6,37.4,0.0,8.0,11.0,8.3,6.3,3.8,120.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Greg Zuerlein,NYJ,K,23.5,23.8,37.2,43.2,0.0,8.3,10.8,12.9,5.2,6.0,117.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Ka'imi Fairbairn,HOU,K,26.9,28.6,31.7,33.9,0.0,10.3,10.5,3.6,7.3,2.2,115.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Jake Moody,SFO,K,56.3,58.2,23.6,27.9,0.0,7.8,7.4,4.8,3.7,4.3,114.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Tyler Bass,BUF,K,49.0,50.9,25.2,28.8,0.0,5.2,10.4,6.5,3.1,3.6,113.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Evan McPherson,CIN,K,47.0,48.1,26.7,31.2,0.0,6.5,7.9,7.2,5.1,4.5,113.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Younghoe Koo,ATL,K,31.2,32.7,31.9,36.9,0.0,9.2,9.6,8.9,4.2,5.0,112.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Jason Sanders,MIA,K,49.2,50.6,26.1,31.4,0.0,5.5,8.7,7.8,4.0,5.3,111.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Wil Lutz,DEN,K,35.0,36.5,30.5,35.6,0.0,11.8,9.8,5.5,3.5,5.2,110.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Matt Gay,IND,K,33.4,34.2,33.7,41.8,0.0,8.6,10.5,7.2,7.3,8.1,110.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Chris Boswell,PIT,K,30.8,31.7,30.7,35.0,0.0,8.7,7.7,7.1,7.1,4.3,110.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Chase McLaughlin,TBB,K,33.2,33.2,28.1,31.1,0.0,7.0,11.0,3.0,7.2,2.9,108.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Dustin Hopkins,CLE,K,27.9,30.8,28.9,32.6,0.0,7.7,8.2,8.0,5.0,3.7,103.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Blake Grupe,NOS,K,42.7,42.7,26.4,32.9,0.0,9.3,5.9,6.3,4.9,6.5,102.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Cam Little,JAC,K,32.9,33.4,27.7,33.1,0.0,6.1,10.3,8.7,2.6,5.4,99.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Nick Folk,TEN,K,29.5,32.8,25.1,27.0,0.0,8.1,7.5,5.3,4.3,1.9,99.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Anders Carlson,GBP,K,35.0,40.4,27.1,33.2,0.0,6.3,13.5,4.7,2.6,6.1,97.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Matt Prater,ARI,K,24.5,25.9,29.8,36.0,0.0,5.3,9.6,6.7,8.3,6.2,95.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Eddy Pineiro,CAR,K,21.9,25.0,28.1,32.3,0.0,5.5,9.3,9.3,4.0,4.2,93.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Joshua Karty,LAR,K,28.6,31.6,28.8,36.3,0.0,10.7,8.4,5.3,4.3,7.5,92.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Brandon McManus,FA,K,32.3,33.6,25.4,30.8,0.0,3.9,9.6,8.3,3.6,5.4,92.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Will Reichard,MIN,K,36.5,39.7,22.8,29.1,0.6,6.3,8.2,4.1,3.5,6.3,86.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Graham Gano,NYG,K,29.2,31.1,23.6,29.3,0.0,3.7,8.7,6.5,4.6,5.7,82.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Ramiz Ahmed,WAS,K,27.6,31.8,19.1,22.6,0.0,4.1,5.1,7.7,2.2,3.5,74.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Greg Joseph,GBP,K,27.1,28.5,19.0,24.1,0.0,4.8,7.8,3.0,3.4,5.1,68.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Riley Patterson,JAC,K,36.2,38.8,11.2,11.9,0.0,1.9,8.1,1.1,0.0,0.7,67.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Joey Slye,NEP,K,30.4,33.1,17.1,24.0,0.0,2.5,5.7,6.1,2.9,6.9,61.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Randy Bullock,NYG,K,21.2,21.2,10.1,11.8,0.0,1.0,4.2,3.3,1.6,1.7,46.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Chad Ryland,NEP,K,25.1,26.2,15.3,24.3,0.0,3.6,4.8,4.7,2.2,8.9,44.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Matthew Wright,PIT,K,0.5,0.5,2.0,2.0,0.0,0.0,0.5,1.5,0.0,0.0,6.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
Tanner Brown,LAR,K,0.6,0.6,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,1.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=7&scoring=18
