player,team,pos,source,source_url,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,fpts
CeeDee Lamb,DAL,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,121,1573,13,3,22,0,298.0
Justin Jefferson,MIN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,118,1770,10,2,13,0,297.3
Tyreek Hill,MIA,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,114,1607,11,7,44,0,288.1
Amon-Ra St. Brown,DET,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,122,1439,10,5,39,0,268.8
Ja'Marr Chase,CIN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,111,1387,12,4,14,0,267.6
Puka Nacua,LAR,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,110,1551,8,11,81,0,266.2
A.J. Brown,PHI,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,101,1484,10,0,0,0,258.9
Garrett Wilson,NYJ,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,103,1349,10,4,15,0,247.89999999999998
Davante Adams,LV,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,107,1316,10,0,0,0,245.10000000000002
Michael Pittman Jr.,IND,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,107,1230,8,2,17,0,226.2
Nico Collins,HOU,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,86,1272,10,1,8,0,231.0
Deebo Samuel,SF,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,72,1051,7,39,241,5,237.2
Stefon Diggs,HOU,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,94,1156,10,1,4,0,223.0
Drake London,ATL,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,98,1244,8,0,0,0,221.39999999999998
Chris Olave,NO,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,97,1309,7,0,0,0,221.39999999999998
Marvin Harrison Jr.,ARI,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,99,1208,8,2,11,0,219.39999999999998
D.J. Moore,CHI,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,91,1283,7,5,36,0,219.39999999999998
D.K. Metcalf,SEA,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,82,1189,10,0,0,0,219.89999999999998
Brandon Aiyuk,SF,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,84,1209,9,1,9,0,217.8
DeVonta Smith,PHI,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,91,1201,8,0,0,0,213.60000000000002
Jaylen Waddle,MIA,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,89,1202,8,3,17,0,214.39999999999998
George Pickens,PIT,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,79,1269,8,3,21,0,216.5
Cooper Kupp,LAR,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,93,1144,7,4,22,0,205.1
Keenan Allen,CHI,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,91,1095,8,3,19,0,204.9
Amari Cooper,CLE,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,81,1198,8,1,6,0,208.9
Chris Godwin,TB,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,91,1137,7,3,18,0,203.0
Mike Evans,TB,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,74,1081,11,0,0,0,211.1
Terry McLaurin,WAS,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,88,1152,7,3,20,0,203.2
Tee Higgins,CIN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,81,1168,8,0,0,0,205.3
DeAndre Hopkins,TEN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,83,1104,8,1,5,0,200.4
Diontae Johnson,CAR,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,94,1045,7,3,16,0,195.1
Zay Flowers,BAL,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,91,1019,7,9,61,0,195.5
Calvin Ridley,TEN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,81,1093,8,6,25,0,200.3
Christian Kirk,JAX,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,82,1090,7,2,13,0,193.3
Malik Nabers,NYG,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,79,1094,7,4,29,0,193.8
Jayden Reed,GB,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,74,925,8,10,91,1,192.6
Christian Watson,GB,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,70,1042,8,6,41,0,191.3
Jordan Addison,MIN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,81,1013,7,2,10,0,184.8
Xavier Worthy,KC,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,69,1055,7,5,52,0,187.2
Marquise Brown,KC,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,81,963,7,2,16,0,180.4
Ladd McConkey,LAC,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,81,1012,6,3,16,0,179.3
Tank Dell,HOU,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,62,930,8,14,73,0,179.3
Curtis Samuel,BUF,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,76,794,6,17,97,1,169.1
Courtland Sutton,DEN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,69,924,7,0,0,0,168.9
Jerry Jeudy,CLE,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,69,972,6,1,7,0,168.4
Jaxon Smith-Njigba,SEA,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,81,845,6,0,0,0,161.0
Rashee Rice,KC,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,72,864,7,2,12,0,165.6
Michael Wilson,ARI,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,66,988,6,0,0,0,167.8
Gabriel Davis,JAX,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,59,985,7,0,0,0,170.0
Keon Coleman,BUF,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,66,911,7,0,0,0,166.1
Jahan Dotson,WAS,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,72,893,6,1,5,0,161.8
Jameson Williams,DET,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,62,923,6,5,53,0,164.6
Jakobi Meyers,LV,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,72,842,6,3,16,0,157.8
Josh Downs,IND,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,79,893,4,2,12,0,154.0
Khalil Shakir,BUF,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,61,945,6,2,19,0,162.9
Josh Palmer,LAC,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,71,844,6,2,11,0,157.0
Brian Thomas Jr.,JAX,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,65,875,6,4,26,0,158.6
Xavier Legette,CAR,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,68,904,5,1,5,0,154.9
Mike Williams,NYJ,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,62,880,6,2,12,0,156.2
Adam Thielen,CAR,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,77,785,4,1,4,0,141.4
Tyler Lockett,SEA,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,69,794,5,1,6,0,144.5
Adonai Mitchell,IND,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,59,806,6,0,0,0,146.1
Troy Franklin,DEN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,62,824,5,2,11,0,144.5
Brandin Cooks,DAL,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,61,750,6,4,27,0,144.2
Rashid Shaheed,NO,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,54,847,5,6,47,0,146.4
Wan'Dale Robinson,NYG,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,78,710,3,8,63,0,134.3
Darnell Mooney,ATL,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,62,775,5,3,16,0,140.1
Romeo Doubs,GB,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,61,671,7,0,0,0,139.6
Quentin Johnston,LAC,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,62,713,5,4,16,0,133.9
Rome Odunze,CHI,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,59,785,4,3,16,0,133.6
Demario Douglas,NE,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,62,713,3,10,54,0,125.69999999999999
Jalin Hyatt,NYG,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,52,806,4,0,0,0,130.6
Jermaine Burton,CIN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,55,715,5,0,0,0,129.0
Dontayvion Wicks,GB,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,54,698,5,2,13,0,128.1
Kendrick Bourne,NE,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,54,696,5,2,11,0,127.69999999999999
Darius Slayton,NYG,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,51,791,4,0,0,0,128.6
Calvin Austin III,PIT,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,53,587,4,21,116,1,126.80000000000001
Roman Wilson,PIT,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,49,730,4,4,26,0,124.1
Jonathan Mingo,CAR,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,61,616,4,0,0,0,116.1
Alec Pierce,IND,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,47,714,4,0,0,0,118.9
K.J. Osborn,NE,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,54,631,4,1,5,0,114.6
Rashod Bateman,BAL,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,54,675,3,1,7,0,113.19999999999999
Odell Beckham Jr.,MIA,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,48,672,4,1,6,0,115.80000000000001
Ricky Pearsall,SF,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,52,563,4,1,6,0,106.9
Marvin Mims,DEN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,42,646,3,8,39,0,107.5
Tyler Boyd,TEN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,51,558,3,1,6,0,99.9
Tre Tucker,LV,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,39,587,2,12,89,0,99.1
JuJu Smith-Schuster,NE,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,49,508,3,0,0,0,93.3
Michael Thomas,NO,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,46,529,2,0,0,0,87.9
Elijah Moore,CLE,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,43,503,2,7,31,0,86.9
Xavier Gipson,NYJ,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,42,441,2,10,81,0,85.2
Treylon Burks,TEN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,38,525,2,4,27,0,86.2
Trey Palmer,TB,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,41,406,3,4,25,0,81.6
Rondale Moore,ATL,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,42,373,2,13,84,0,78.7
Tim Patrick,DEN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,33,462,3,0,0,0,80.7
Demarcus Robinson,LAR,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,34,391,4,0,0,0,80.1
Robert Woods,HOU,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,38,459,2,1,6,0,77.5
A.T. Perry,NO,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,31,466,3,1,7,0,80.8
Quez Watkins,PIT,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,35,444,2,1,5,0,74.4
Greg Dortch,ARI,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,39,375,2,4,30,0,72.0
